OUTLET_CODE,SALES_UNITS,UNIT_PTR,FREQUENCY,PRODUCT_CODE_ENCODED,CLUSTER
OL10875,20.444444444444443,8.432539684027779,9,43.333333333333336,0
OL10876,40.116504854368934,7.662968100628203,103,48.640776699029125,0
OL10879,1.0,290.9090909,1,10.0,1
OL10880,12.666666666666666,81.70995673194444,3,36.333333333333336,0
OL10881,104.0,5.357142856916667,5,43.6,0
OL10884,22.4,7.142857143125001,5,52.2,0
OL10886,15.066666666666666,22.889610386875002,15,55.666666666666664,0
OL10887,20.5,8.444940477682293,24,57.416666666666664,0
OL10888,19.333333333333332,17.884199136863426,12,64.25,0
OL10889,11.451612903225806,54.14746543803091,31,50.54838709677419,0
OL10890,25.333333333333332,7.738095239092592,15,50.333333333333336,0
OL10891,22.25,7.812500001328125,16,50.1875,0
OL10892,32.0,8.928571428125,1,35.0,0
OL10894,17.86842105263158,8.89332706982626,76,50.35526315789474,0
OL10895,39.333333333333336,6.8824404773206025,24,55.666666666666664,0
OL10897,16.0,8.92857143125,4,42.25,0
OL10898,11.875,32.976866884505206,8,45.75,0
OL10899,24.615384615384617,6.868131869134616,13,51.61538461538461,0
OL10900,13.883720930232558,40.12420718813469,43,46.72093023255814,0
OL10901,9.0,125.01475797136364,11,52.90909090909091,0
OL10902,4.0625,76.04910714960937,16,49.5,0
OL10903,4.688524590163935,111.78997232177596,61,43.65573770491803,0
